City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Hanmer Springs,-42.5167,172.8167,72.46,48,63,4.59,NZ,2021-01-09 03:19:18
68,Neiafu,-18.65,-173.9833,84.2,74,75,10.36,TO,2021-01-09 03:19:18
69,Santiago De Chuco,-8.15,-78.1833,50.36,80,90,1.23,PE,2021-01-09 03:19:18
70,Hualmay,-11.0964,-77.6139,70.41,85,96,8.41,PE,2021-01-09 03:19:19
71,Lorengau,-2.0226,147.2712,85.62,70,17,8.39,PG,2021-01-09 03:19:19
72,West Wendover,40.7391,-114.0733,32.0,69,90,3.44,US,2021-01-09 03:19:19
73,Samarai,-10.6167,150.6667,86.65,70,68,11.5,PG,2021-01-09 03:19:19
74,Half Moon Bay,37.4636,-122.4286,52.0,93,40,6.91,US,2021-01-09 03:19:19
75,Kizukuri,40.8061,140.3861,30.0,79,75,12.66,JP,2021-01-09 03:19:20
76,Kodiak,57.79,-152.4072,32.0,86,90,8.05,US,2021-01-09 03:19:20
77,Pochutla,15.7432,-96.4661,75.0,84,47,3.0,MX,2021-01-09 03:19:20
78,Vestmanna,62.1564,-7.1664,44.6,100,90,12.66,FO,2021-01-09 03:19:20
79,Tautira,-17.7333,-149.15,82.4,74,40,9.22,PF,2021-01-09 03:19:21
80,Pisco,-13.7,-76.2167,70.0,83,0,8.05,PE,2021-01-09 03:19:21
81,Bathsheba,13.2167,-59.5167,78.8,78,75,18.41,BB,2021-01-09 03:19:21
82,Chynov,49.4068,14.8112,28.0,81,83,5.19,CZ,2021-01-09 03:19:21
83,Kapaa,22.0752,-159.319,77.0,65,1,12.66,US,2021-01-09 03:16:28
84,Mataura,-46.1927,168.8643,61.0,70,83,15.01,NZ,2021-01-09 03:19:22
85,Thaba-Tseka,-29.522,28.6084,56.93,75,61,2.59,LS,2021-01-09 03:19:22
86,Ibate,-21.9547,-47.9967,73.4,100,0,1.14,BR,2021-01-09 03:19:22
87,Hokitika,-42.7167,170.9667,64.29,68,55,5.5,NZ,2021-01-09 03:19:22
88,Port Blair,11.6667,92.75,84.2,74,20,8.05,IN,2021-01-09 03:17:01
89,Codrington,-38.2667,141.9667,72.52,60,10,11.23,AU,2021-01-09 03:19:23
90,Maturin,9.75,-63.1767,69.87,96,48,3.67,VE,2021-01-09 03:14:25
91,Cape Canaveral,28.4058,-80.6048,55.99,67,40,11.5,US,2021-01-09 03:18:08
